"id","ride_id","created_at","timezone","device_type","fitness_discipline","ride_title","status","total_work","avg_difficulty","ride_duration","ride_image_url","instructor_id","instructor_name","distance","total_output","avg_pace","avg_speed","avg_output","avg_cadence","avg_resistance"
"7660d6d5bcd64d46905d6be9473e3727","f64e44391ea141c3b73b83c7ae2d1ae2",2022-04-07 01:55:00,"Etc/GMT+4","home_bike_plus","Cycling","20 min Pop Ride","COMPLETE",202384.38,7.2284,1200,"https://s3.amazonaws.com/peloton-ride-images/ebd37a43d8e0d02e72c805e772ca61c4a40cc546/img_1649341367_39a71e31283949efb2115e7cbca7f779.png","f6f2d613dc344e4bbf6428cd34697820","Emma Lovewell",6.66,202,NA,20,169,82,46
"1e7325d4f2074a66ae3bd5334e836c57","92b3beb85092456faec62bcc6e0be59e",2022-04-06 12:22:00,"Etc/GMT+4","home_bike_plus","Cycling","15 min Low Impact Ride","COMPLETE",147490.64,5.7598,900,"https://s3.amazonaws.com/peloton-ride-images/8e7c3b5c08da3b6e402595b121faded24e8b441f/img_1635170385_0edcbd9c274141a7b0f4127cf3430ac5.jpg","05735e106f0747d2a112d32678be8afd","Olivia Amato",4.93,147,NA,19.7,164,85,44
"cc76a8948747403585a3ef117b620c53","81b8f608405e4a76906c63e363a25744",2022-04-06 03:58:00,"Etc/GMT+4","home_bike_plus","Yoga","45 min Power Yoga","COMPLETE",0,6.3978,2700,"https://s3.amazonaws.com/peloton-ride-images/4ab614e6f752a8fe9b2626d01ae62fff07322612/img_1649263813_5a51fc949bd44fe9937017531ad9ab3c.jpg","f48347e0fb3748c08aa6c6e031b48897","Kristin McGee",NA,NA,NA,NA,NA,NA,NA
"2cf4013777a343ae83c640825cb5a487","3ae4bf056786424a8e9a828c5890d74d",2022-04-05 09:06:00,"Etc/GMT+4","home_bike_plus","Strength","5 min Core Strength","COMPLETE",0,5.5993,300,"https://s3.amazonaws.com/peloton-ride-images/3d7f566566223813085a156cfcfa2b62824434a0/img_1643309558_ab3d6182fa9b413eb6c0a9b021472c60.png","f962a2b1b34d424cabab73bef81bc8db","Adrian Williams",NA,NA,NA,NA,NA,NA,NA
"fc4a506356fd4b16bf75f9765665273d","ec31fcc312e5454292a162ef45a7330e",2022-04-05 08:43:00,"Etc/GMT+4","home_bike_plus","Strength","20 min Arms & Shoulders Strength","COMPLETE",0,6.7791,1200,"https://s3.amazonaws.com/peloton-ride-images/e8c9878ca6bafe83c17cf81fd71c158d41b7dceb/img_1647521500_bc5cb2be652f4c7d80df3e370cadcf06.png","f962a2b1b34d424cabab73bef81bc8db","Adrian Williams",NA,NA,NA,NA,NA,NA,NA
"b132b3cbd6eb4712a6c560536f4b7b90","f0431b8d26034fd0ab4f152a02893f6d",2022-04-05 01:33:00,"Etc/GMT+4","home_bike_plus","Cycling","30 min Pop Ride","COMPLETE",258174.59,7.9129,1800,"https://s3.amazonaws.com/peloton-ride-images/ec582492e337283ff9d8cd3089fa1cf1d780910b/img_1649118859_d13afc4f4193449a84a34b2da5a0e9cd.png","4904612965164231a37143805a387e40","Kendall Toole",9.3,258,NA,18.6,143,80,44
"220ece98c6c9478ab6a6272eefb7200e","27447ead486c46fb9b94f2911e484a44",2022-04-04 03:58:00,"Etc/GMT+4","home_bike_plus","Bike Bootcamp","45 min Jock Jams Bootcamp","COMPLETE",195536.69,8.1281,2700,"https://s3.amazonaws.com/peloton-ride-images/aa5b1c6b2ed271d2afc5303269688bf69d742d55/img_1649091958_868e1c81865242c8afbc78c63c164c7d.png","1b79e462bd564b6ca5ec728f1a5c2af0","Jess Sims",NA,NA,NA,NA,NA,NA,NA
"d9d4fc04ac2540cdab7e7a5c3e4b391e","96cdfde55dbe4123978096ef27558656",2022-04-04 01:39:00,"Etc/GMT+4","home_bike_plus","Cycling","30 min HIIT Ride","COMPLETE",251438.84,8.1542,1800,"https://s3.amazonaws.com/peloton-ride-images/07ea5f3fe503791156cdcc7684c05aeb4fc5d496/img_1647286213_b0f4f64a0f2443a485ef9ee3a39544bb.png","c0a9505d8135412d824cf3c97406179b","Leanne Hainsby",9.16,251,NA,18.3,140,80,43
"1a8d8e0719ca44b8b9c5d84fe551eb0f","c70b792432064a76b03e3fc05c9397c3",2022-04-03 15:39:00,"America/New_York","iPhone","Meditation","5 min Sleep Meditation","COMPLETE",0,2.6949,300,"https://s3.amazonaws.com/peloton-ride-images/b539309ce068079747d5401c4ffb81b8ab90b82a/img_1631121155_f85b48363f7547a0a4483978f8a4e651.jpg","b8c2734e18a7496fa146b3a42465da67","Aditi Shah",NA,NA,NA,NA,NA,NA,NA
"223827bfed9c44098c173e47ce43d426","fab37e77b09943edac780a9b15a32510",2022-03-27 05:20:00,"America/Mazatlan","iPhone","Walking","20 min Walk + Run","COMPLETE",0,6.3738,1200,"https://s3.amazonaws.com/peloton-ride-images/c403fe13e20353af933732d11016688811640162/img_1642549424_1d2fcce6a12446838595b372787ae252.png","1b79e462bd564b6ca5ec728f1a5c2af0","Jess Sims",NA,NA,NA,NA,NA,NA,NA
